,shop_id,shop_name,rating_bad,rating_good,rating_normal,rating_star,place,create_time
48,667164735,ddpaiofficial,8,1022,10,4.92885,"Quận Bình Tân, TP. Hồ Chí Minh",1643103586
49,96537614,vietmap_official_store,10,494,19,4.802303,"Huyện Bình Chánh, TP. Hồ Chí Minh",1539592544
50,646662818,officialstore70mai,40,6096,65,4.910938,"Quận Bình Tân, TP. Hồ Chí Minh",1641376519
51,238323920,fasvineveryone,11,546,20,4.772085,"Quận Thanh Xuân, Hà Nội",1584942641
52,53355040,tueminhcar,22,3400,43,4.90625,"Quận Long Biên, Hà Nội",1516529218
53,796609311,hanoi_autoshop,15,579,29,4.73021,"Huyện Thanh Oai, Hà Nội",1655429138
54,746276855,shopdoxeoto,4,447,20,4.812766,"Huyện Thanh Oai, Hà Nội",1649816599
55,48608792,camera_a_tan_official_store_sg,442,16283,651,4.741978,"Quận Tân Bình, TP. Hồ Chí Minh",1513528275
56,880588486,komexjsc,0,399,3,4.963255,"Quận Nam Từ Liêm, Hà Nội",1665396489
57,816490879,fnkvision_1,34,2287,80,4.787707,"Quận Bình Tân, TP. Hồ Chí Minh",1657618567
58,297411514,z.store.sg,65,3003,95,4.79249,"Quận Tân Bình, TP. Hồ Chí Minh",1597569261
59,297411514,z.store.sg,65,3003,95,4.79249,"Quận Tân Bình, TP. Hồ Chí Minh",1597569261
60,48608792,camera_a_tan_official_store_sg,442,16283,651,4.741978,"Quận Tân Bình, TP. Hồ Chí Minh",1513528275
61,48608792,camera_a_tan_official_store_sg,442,16283,651,4.741978,"Quận Tân Bình, TP. Hồ Chí Minh",1513528275
62,408225626,miviet.official,8,1254,15,4.905976,"Quận Tân Phú, TP. Hồ Chí Minh",1616392151
63,585862174,vietstar.media,23,1585,66,4.787154,"Quận Gò Vấp, TP. Hồ Chí Minh",1636455158
64,389936597,camera_360_store,59,266,20,4.107143,"Quận Nam Từ Liêm, Hà Nội",1613701372
65,206468529,autotop1.vn,10,326,11,4.755814,,1575622313
