,id,sku,short_description,price,list_price,discount,discount_rate,review_count,quantity_sold,cs_id,cs_name,stock_item,inventory_status,product_name,brand_id,brand_name,location
386,194823008,3945341080366,Camera IP hồng ngoại 2.0 Megapixel KBVISION KX-A2011TN3- Cảm biến hình ảnh: 1/2.9 inch Panasonic CMOS.- Chuẩn nén hình ảnh: H.264+/H.265+.- Độ phân giải: 25-30fps@ 2M(1920×1080).- Ống kính: 3.6mm ...,725000,1099000,374000,34,0,4,13093,CÔNG TY VILOCOM,1000,available,Camera IP hồng ngoại 2.0 Megapixel KBVISION KX-A2011TN3 - Hàng Chính Hãng,155565,KBVISION,Trong nước
387,96597607,3249474569501,Camera IP Wifi Ngoài Trời Yoosee Hệ thống tín hiệu: PAL/NTSCTốc độ video: 25 FPS hoặc 30 FPSPhát hiện chuyển động: CóHỗ trợ chụp ảnh: CóHỗ trợ NVR: CóĐầu vào âm thanh: Microphone tích hợpĐầu ra âm th...,385000,385000,0,0,0,1,298886,CAMERA PHƯƠNG ĐÔNG Store,1000,available,Camera IP Wifi Ngoài trời Yoosee PTZ FullHD 3.0  LED trợ sáng đàm thoại 2 chiều - hỗ trợ xoay 355 độ.HÀNG CHÍNH HÃNG,111625,Yoosee,Trong nước
388,36024549,9317840470094,Camera Imou IPC-C22EP-imouIPC-C22EP là dòng camera Ip kết nối không dây của hãng IMou một thương hiệu  chất lượng của hãng Dahua. Kiểu dáng Cube lắp đặt trong nhà. IPC-C22EP thiết kế ra với khả năng ...,432000,449789,17789,4,0,3,48369,KHO SỈ CÔNG NGHỆ,1000,available,Camera IP Wifi IMOU IPC C22EP FullHD 1080P - Hàng Chính Hãng,74552,Dahua,Trong nước
389,130388439,6365175124716,ĐẶC ĐIỂM NỔI BẬTImou Ranger 2 với ưu điểm bảo vệ 360° với khả năng bảo mật và phát hiện con ngườiPhát hiện con người | 1080P | Bảo vệ 360° | Tích hợp còi hú | Theo dõi thông minh | Chế độ riêng t...,83000,83000,0,0,0,9,48369,KHO SỈ CÔNG NGHỆ,1000,available,Camera ip Imou Ranger A22 (Mẫu 2021) - Chip Hình Ảnh Thế Hệ Mới - Full Hd 1080 - Hàng Chính Hãng,416097,IMOU,Trong nước
390,104416721,5141863982087,"       ☼ CP3 / IP Camera / Camera an ninh WiFi quay quét FullHD 1080P   ☼ Tenda CP3 là camera WiFi quay quét cho gia đình, với khả năng quan sát toàn cảnh 360° và độ phân giải FullHD 1080P   ☼ T...",397000,414000,17000,4,2,8,48369,KHO SỈ CÔNG NGHỆ,1000,available,Camera IP wifi Tenda CP3 dùng cho gia đình - hàng chính hãng ( rõ hơn Ezviz C6N và Imou A22 ),27703,Tenda,Trong nước
391,16317230,4078865166311,"Thiết kế hiện đại, nhỏ gọnCamera TVI HIKVISION DS-2CE56C0T-IR 1.0 Megapixel sở hữu thiết kế nhỏ gọn, trang nhã kết hợp chân đế vững chắc giúp bạn dễ dàng lắp đặt mọi vị trí trong không gian nội thất ...",350000,350000,0,0,1,1,48369,KHO SỈ CÔNG NGHỆ,1000,available,Camera TVI HIKVISION DS-2CE56C0T-IR 1.0 Megapixel - Hàng Nhập Khẩu,174069,Hikvision,Trong nước
392,116969532,9969892717312,UNV IPC2122CR3-F40-A là dòng camera IP có độ phân giải 2MP với hồng ngoại ban đêm lên đến 30m. Hỗ trợ chống nước IP67 phù hợp cho lắp đặt ngoài trời. Camera IP hồng ngoại 2.0 Megapixel UNV IPC2122CR3...,760000,760000,0,0,2,7,142017,Đại Hùng Camera,1000,available,Camera IP hồng ngoại 2.0 Megapixel UNV IPC2122CR3-F40-A,111461,OEM,Trong nước
393,204621405,1700284135980,"Camera wifi YooSee ngoài trời soi đêm có màu fullHD-1080PP QJ04 Là sản phẩm Camera Wifi ngoài trời tích hợp công nghệ Starlight cho phép hỗ trợ ánh sáng yếu tốt hơn, ghi hình thấy màu vào ban đêm, ...",550000,550000,0,0,2,6,265319,Shop Phân Phối Camera,1000,available,Camera wifi YooSee ngoài trời soi đêm có màu HD-1080P QJ04- Hàng chính hãng,111625,Yoosee,Trong nước
394,94596171,3699370773839,"* Sản phẩm có 3 thuộc tính lựa chọn, Quý khách lưu ý chọn đúng thuộc tính cần mua:1. CAMERA KHÔNG THẺ2. CAMERA + THẺ 32GB3. CAMERA + THẺ 64GB* Vị trí khe cắm thẻ nhớ phía dưới LOA Camera ...",438000,438000,0,0,0,0,0,,0,available,"Camera wifi yoosee ngoài trời 20 LED 4 râu thân xoay Full HD 1080P Quay đêm có màu, Chống Nước đàm thoại 2 chiều , App ngôn ngữ tiếng Việt - Hàng Nhập Khẩu",111625,Yoosee,Trong nước
395,88250011,8559991697139,"ảm biến 1/2.7"" Progressive CMOSĐộ phân giải 1920x1080 max 25fps 2MpChuấn nén H.264 , hỗ trợ 2 luồng dữ liệuỐng kính 2.8mm@ F2.5, góc nhìn ngang 106°, góc nhìn chéo 130°Hồng ngoại 1...",507600,540000,32400,6,0,0,0,,0,available,Camera IP - Camera WIFI EZVIZ C1C 1080P (C1C-B) - Đàm thoại 2 chiều - hàng nhập khẩu,247217,EZVIZ,Trong nước
